setting,target_tokens,needle_frac,group,head,head_label,mean_delta_patch,ci_low,ci_high,std,mean_recovery_fraction,positive_examples,n
8k / 0.9,8192,0.9,support_L22H4,L22H4,support L22H4,0.01365915934244799,0.005890119215977228,0.021428199468918753,0.025069246972336954,0.004474585267241801,26,40
8k / 0.9,8192,0.9,activation_control_L20H5,L20H5,L20H5 control,0.011442565917968772,0.0028902251165161784,0.019994906719421366,0.02759681250875518,0.0037563113781929323,25,40
8k / 0.9,8192,0.9,inactive_control_L21H2,L21H2,L21H2 inactive,0.00599416097005212,4.833913665677498e-05,0.011939982803447467,0.01918606077049745,0.001975611531014321,20,40
8k / 0.9,8192,0.9,inactive_control_L22H8,L22H8,L22H8 inactive,0.003554789225260424,-0.003839644095436772,0.010949222545957621,0.023860460509842276,0.0011140588870171201,23,40
8k / 0.9,8192,0.9,inactive_control_L22H3,L22H3,L22H3 inactive,0.0054219563802083036,-0.0012438531070714121,0.01208776586748802,0.021509326967921516,0.0014879184911296116,24,40
16k / 0.1,16384,0.1,address_L22H7,L22H7,L22H7,0.4077463785807292,0.3365930973194945,0.4788996598419639,0.22959839977559168,0.1357083761706009,38,40
16k / 0.1,16384,0.1,address_L22H10,L22H10,L22H10,0.11049652099609378,0.07703086680548166,0.1439621751867059,0.10798743941825818,0.03591828737287543,34,40
16k / 0.1,16384,0.1,address_L21H11,L21H11,L21H11,0.021191406249999954,0.006246755157398642,0.036136057342601266,0.0482236084583103,0.007070363781425465,30,40
16k / 0.1,16384,0.1,support_L20H7,L20H7,support L20H7,0.00943196614583337,0.001415551594946175,0.017448380696720563,0.025867478213182967,0.0031828308133160844,24,40
16k / 0.1,16384,0.1,support_L18H3,L18H3,support L18H3,0.004125976562500045,-0.003542718702582673,0.011794671827582762,0.024745452774908274,0.0013927967537469637,24,40
16k / 0.1,16384,0.1,support_L17H10,L17H10,support L17H10,0.004844156901041674,-0.004319645190264039,0.014007958992347387,0.029569884321979937,0.0016899694195517214,20,40
