i,gold_clean,gold_corrupt,lp_base,lp_patch_topK,delta_topK,lp_patch_randK_mean,lp_patch_randK_std,delta_randK_mean,delta_randK_std,delta_randK_all
21,809208,890047,-4.375,-0.939910888671875,3.435089111328125,-0.0039429744084676106,0.007917226491087996,4.371057025591531,0.007917226491088038,"[4.338174184163411, 4.362911224365234, 4.371198336283366, 4.372389793395996, 4.373088200887044, 4.372219085693359, 4.373078982035319, 4.372798919677734, 4.37257194519043, 4.372799714406331, 4.373826503753662, 4.373865127563477, 4.374096234639485, 4.373977343241374, 4.374306996663411, 4.374035835266113, 4.373839060465495, 4.374053319295247, 4.374052365620931, 4.373857339223226]"
22,514559,317317,-4.244791666666667,-0.8874918619791666,3.3572998046875004,-0.003800193468729655,0.008810087820089395,4.240991473197938,0.008810087820089468,"[4.203975677490234, 4.233226776123047, 4.242334365844727, 4.242823600769043, 4.241573333740234, 4.242343902587891, 4.24347988764445, 4.243104934692383, 4.243115743001303, 4.243274688720703, 4.243978500366211, 4.244009097417196, 4.244097709655762, 4.244068702061972, 4.244315465291342, 4.244067509969076, 4.2438162962595625, 4.244145234425863, 4.24414587020874, 4.243932167689006]"
23,203274,951642,-4.135416666666667,-0.9919840494791666,3.1434326171875004,-0.006655470530192058,0.012692747982016108,4.128761196136475,0.012692747982016143,"[4.07611083984375, 4.115491231282553, 4.130470275878906, 4.131253560384115, 4.130865097045898, 4.129980723063151, 4.132047653198242, 4.13121223449707, 4.131816864013672, 4.130613327026367, 4.133268356323242, 4.133341471354167, 4.133699417114258, 4.1338192621866865, 4.134256998697917, 4.133855183919271, 4.132920583089193, 4.133399963378906, 4.133577664693197, 4.133223215738933]"
24,331376,613618,-4.604166666666667,-1.0159912109375,3.588175455729167,-0.0032362620035807305,0.005080672837802836,4.600930404663087,0.005080672837802861,"[4.581180572509766, 4.592473347981771, 4.600806554158529, 4.601588884989421, 4.601566314697266, 4.6017087300618496, 4.6024058659871425, 4.60181999206543, 4.602078755696615, 4.601865609486898, 4.6029378573099775, 4.603045781453451, 4.603238582611084, 4.603228727976481, 4.60356330871582, 4.603283882141113, 4.602738539377849, 4.6030796368916835, 4.603135267893474, 4.6028618812561035]"
25,768675,540769,-4.868489583333333,-0.8544718424479166,4.014017740885416,-0.004542573293050129,0.009192127886749717,4.863947010040283,0.009192127886749663,"[4.8262481689453125, 4.852807998657227, 4.864656766255696, 4.866188049316406, 4.865818977355957, 4.865808804829915, 4.86650276184082, 4.865927219390869, 4.86584726969401, 4.865984280904134, 4.86715825398763, 4.867203871409098, 4.867393334706624, 4.867396195729573, 4.867781480153401, 4.867317199707031, 4.867154598236084, 4.867509206136067, 4.867307186126709, 4.866928577423096]"
26,712441,186994,-4.7421875,-0.48554229736328125,4.256645202636719,-0.004539247353871663,0.009626494746260464,4.737648252646129,0.009626494746260525,"[4.69780953725179, 4.72691535949707, 4.7392578125, 4.739309310913086, 4.739976247151692, 4.739591916402181, 4.7400773366292315, 4.74006191889445, 4.739549318949382, 4.7399617830912275, 4.741111755371094, 4.740885178248088, 4.741204579671224, 4.740856488545735, 4.741477727890015, 4.741182645161946, 4.7408749262491865, 4.741164127985637, 4.740885972976685, 4.740811109542847]"
27,108018,254019,-4.252604166666667,-0.6729532877604166,3.5796508789062504,-0.005522282918294271,0.008813005626758578,4.247081883748374,0.008813005626758495,"[4.21282704671224, 4.232560475667318, 4.246121088663737, 4.248076756795248, 4.2485564549764, 4.247892379760742, 4.249852180480957, 4.249368349711101, 4.249514261881511, 4.248185793558757, 4.250689188639323, 4.250774383544922, 4.250931104024252, 4.251119772593181, 4.251523653666179, 4.251100858052572, 4.25052547454834, 4.250980536142985, 4.250516573588054, 4.250521341959636]"
28,968315,684582,-4.325520833333333,-0.90350341796875,3.422017415364583,-0.005311250686645509,0.012215328681391014,4.320209582646688,0.01221532868139111,"[4.269194285074869, 4.308287302652994, 4.321983655293782, 4.322699864705403, 4.321669896443685, 4.321687698364258, 4.323782920837402, 4.323152542114258, 4.323177337646484, 4.323467890421549, 4.3243727684021, 4.324408372243245, 4.324638366699219, 4.32455571492513, 4.324821472167969, 4.324548085530599, 4.3243920008341465, 4.324631849924723, 4.32442569732666, 4.324293931325276]"
29,377433,147383,-4.4453125,-1.0313720703125,3.4139404296875,-0.007041454315185544,0.014234008745693517,4.4382710456848145,0.014234008745693442,"[4.378729502360026, 4.424875895182292, 4.440219561258952, 4.441329638163249, 4.43987496693929, 4.440157254536946, 4.442263603210449, 4.44222625096639, 4.441876570383708, 4.440480391184489, 4.443475882212321, 4.443047205607097, 4.443670113881429, 4.443404833475749, 4.444265683492024, 4.443389097849528, 4.442657470703125, 4.443609237670898, 4.442868550618489, 4.442999203999837]"
30,245627,439725,-4.6015625,-0.9112141927083334,3.6903483072916665,-0.0067878365516662615,0.013119087064059851,4.594774663448334,0.013119087064059856,"[4.540611267089844, 4.580604553222656, 4.594521840413411, 4.597385406494141, 4.5975948969523115, 4.596218744913737, 4.597723642985026, 4.597451527913411, 4.598018964131673, 4.596703847249349, 4.599545001983643, 4.599618275960286, 4.600150426228841, 4.600138584772746, 4.600677649180095, 4.600027799606323, 4.599284728368123, 4.599763631820679, 4.599971691767375, 4.599480787913005]"
