setting,length,needle_frac,layer,head,detect_rate,event_rate,retrieval_score,avg_mass,retrieval_rate,copied_first_rate,avg_prompt_len_tokens,avg_distance_tokens
L8192_p0.10,8192,0.1,2,8,0.0,0.0,0.0,8.148138931574067e-07,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,2,9,0.0,0.0,0.0,4.649749025702477e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,2,10,0.0,0.0,0.0,5.2443007007241246e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,2,11,0.0,0.0,0.0,5.7314115110784766e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,3,0,0.0,0.0,0.0,7.970448932610452e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,3,1,0.0,0.0,0.0,7.550729787908495e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,3,2,0.0,0.0,0.0,4.35735078781363e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,3,3,0.0,0.0,0.0,3.62658091034973e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,3,4,0.0,0.0,0.0,1.896051107905805e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,3,5,0.0,0.0,0.0,4.2767533159349114e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,3,6,0.0,0.0,0.0,3.64348292350769e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,3,7,0.0,0.0,0.0,0.0027407407760620117,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,3,8,0.0,0.0,0.0,6.908047944307328e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,3,9,0.0,0.0,0.0,0.0001695409417152405,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,3,10,0.0,0.0,0.0,4.194642315269448e-07,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,3,11,0.0,0.0,0.0,0.0003491178154945374,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,4,0,0.0,0.0,0.0,0.00013106949627399443,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,4,1,0.0,0.0,0.0,0.0006733343005180358,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,4,2,0.0,0.0,0.0,6.329571624519303e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,4,3,0.0,0.0,0.0,0.0005496263504028321,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,4,4,0.0,0.0,0.0,0.00022359471768140793,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,4,5,0.0,0.0,0.0,4.5017339289188385e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,4,6,0.0,0.0,0.0,7.579370139865204e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,4,7,0.0,0.0,0.0,1.0796905553434043e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,4,8,0.0,0.0,0.0,2.0026153651997448e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,4,9,0.0,0.0,0.0,9.605046361684799e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,4,10,0.0,0.0,0.0,3.96727817133069e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,4,11,0.0,0.0,0.0,0.0001598733171704225,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,5,0,0.0,0.0,0.0,6.095292046666145e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,5,1,0.0,0.0,0.0,7.975212065503002e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,5,2,0.0,0.0,0.0,9.367121383547783e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,5,3,0.0,0.0,0.0,0.0006929457187652588,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,5,4,0.0,0.0,0.0,0.0010192215442657471,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,5,5,0.0,0.0,0.0,0.00033926665782928466,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,5,6,0.0,0.0,0.0,3.449245123192668e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,5,7,0.0,0.0,0.0,1.553319743834436e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,5,8,0.0,0.0,0.0,6.957114510441897e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,5,9,0.0,0.0,0.0,3.9898103487701064e-07,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,5,10,0.0,0.0,0.0,4.4269746126701646e-07,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,5,11,0.0,0.0,0.0,1.9296178652439267e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,6,0,0.0,0.0,0.0,8.039800450205803e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,6,1,0.0,0.0,0.0,3.793073119595647e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,6,2,0.0,0.0,0.0,1.8316786736249924e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,6,3,0.0,0.0,0.0,2.6302319020032884e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,6,4,0.0,0.0,0.0,2.1738570649176835e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,6,5,0.0,0.0,0.0,5.817502824356779e-07,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,6,6,0.0,0.0,0.0,1.0473104453012638e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,6,7,0.0,0.0,0.0,2.0982237765565513e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,6,8,0.0,0.0,0.0,3.1055546614311424e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,6,9,0.0,0.0,0.0,8.115903619909659e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,6,10,0.0,0.0,0.0,1.0505889804335311e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,6,11,0.0,0.0,0.0,1.0128329336112073e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,7,0,0.0,0.0,0.0,0.00029624253511428833,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,7,1,0.0,0.0,0.0,0.00011379977222532034,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,7,2,0.0,0.0,0.0,6.199907511472702e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,7,3,0.0,0.0,0.0,3.5202345679863355e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,7,4,0.0,0.0,0.0,0.0003322182223200798,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,7,5,0.0,0.0,0.0,0.00021389937028288842,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,7,6,0.0,0.0,0.0,0.00010773912072181702,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,7,7,0.0,0.0,0.0,3.537512966431677e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,7,8,0.0,0.0,0.0,8.368927467472531e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,7,9,0.0,0.0,0.0,1.559262163937092e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,7,10,0.0,0.0,0.0,0.00012829452753067018,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,7,11,0.0,0.0,0.0,0.0001434341073036194,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,8,0,0.0,0.0,0.0,1.9346154294908048e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,8,1,0.0,0.0,0.0,8.042000699788332e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,8,2,0.0,0.0,0.0,0.003375709056854248,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,8,3,0.0,0.0,0.0,2.083249316342517e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,8,4,0.0,0.0,0.0,5.567786683968734e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,8,5,0.0,0.0,0.0,3.20994236972183e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,8,6,0.0,0.0,0.0,1.1799309868365527e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,8,7,0.0,0.0,0.0,0.0025404768413864074,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,8,8,0.0,0.0,0.0,4.977895878255367e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,8,9,0.0,0.0,0.0,6.842450238764286e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,8,10,0.0,0.0,0.0,6.2402992625720796e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,8,11,0.0,0.0,0.0,2.3574865190312265e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,9,0,0.0,0.0,0.0,6.918758153915406e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,9,1,0.0,0.0,0.0,4.496381152421236e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,9,2,0.0,0.0,0.0,5.32311896677129e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,9,3,0.0,0.0,0.0,0.00024277232587337493,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,9,4,0.0,0.0,0.0,6.14013260928914e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,9,5,0.0,0.0,0.0,1.5280270599760114e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,9,6,0.0,0.0,0.0,0.0013285279273986816,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,9,7,0.0,0.0,0.0,8.229243103414774e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,9,8,0.0,0.0,0.0,0.0027577221393585206,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,9,9,0.0,0.0,0.0,5.0116388592869045e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,9,10,0.0,0.0,0.0,9.009418818095582e-07,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,9,11,0.0,0.0,0.0,5.291111483529675e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,10,0,0.0,0.0,0.0,0.0030700981616973875,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,10,1,0.0,0.0,0.0,3.035883419215679e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,10,2,0.0,0.0,0.0,0.001148611307144165,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,10,3,0.0,0.0,0.0,0.00025288276374340056,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,10,4,0.0,0.0,0.0,0.0010172054171562195,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,10,5,0.0,0.0,0.0,0.00023663430474698543,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,10,6,0.0,0.0,0.0,0.007193279266357422,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,10,7,0.0,0.0,0.0,0.0004913270473480225,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,10,8,0.0,0.0,0.0,0.00019481703639030458,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,10,9,0.0,0.0,0.0,0.00421069860458374,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,10,10,0.0,0.0,0.0,0.0010383736342191696,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,10,11,0.0,0.0,0.0,0.0027134895324707033,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,11,0,0.0,0.0,0.0,0.0028915882110595705,1.0,1.0,8135.25,7251.275
