group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
query_tail,literal,1238,8192,8192,0.5,127404,9,-2.0216344197591147,-2.7714929580688477,-0.7498585383097329
answer_address_inactive_control,literal,1238,8192,8192,0.5,127404,3,-2.0216344197591147,-2.0112104415893555,0.010423978169759263
query_tail_inactive_control,literal,1238,8192,8192,0.5,127404,9,-2.0216344197591147,-1.9382260640462239,0.08340835571289085
answer_address,literal,1239,8192,8192,0.5,178315,3,-1.9281892776489258,-1.9600108464558919,-0.03182156880696607
non_address_core,literal,1239,8192,8192,0.5,178315,16,-1.9281892776489258,-3.3760849634806314,-1.4478956858317056
strong13,literal,1239,8192,8192,0.5,178315,13,-1.9281892776489258,-3.2097268104553223,-1.2815375328063965
core19,literal,1239,8192,8192,0.5,178315,19,-1.9281892776489258,-3.4387429555257163,-1.5105536778767905
first_token_sink,literal,1239,8192,8192,0.5,178315,6,-1.9281892776489258,-2.3345206578572593,-0.4063313802083335
query_tail,literal,1239,8192,8192,0.5,178315,9,-1.9281892776489258,-2.813758373260498,-0.8855690956115723
answer_address_inactive_control,literal,1239,8192,8192,0.5,178315,3,-1.9281892776489258,-1.8866079648335774,0.04158131281534838
query_tail_inactive_control,literal,1239,8192,8192,0.5,178315,9,-1.9281892776489258,-1.9075439771016438,0.020645300547281975
answer_address,literal,1240,8192,8192,0.5,779361,3,-1.9904648462931316,-2.11560853322347,-0.12514368693033862
non_address_core,literal,1240,8192,8192,0.5,779361,16,-1.9904648462931316,-3.375580310821533,-1.3851154645284016
strong13,literal,1240,8192,8192,0.5,779361,13,-1.9904648462931316,-3.271745204925537,-1.2812803586324055
core19,literal,1240,8192,8192,0.5,779361,19,-1.9904648462931316,-3.3131073315938315,-1.3226424853007
first_token_sink,literal,1240,8192,8192,0.5,779361,6,-1.9904648462931316,-2.469567139943441,-0.4791022936503093
query_tail,literal,1240,8192,8192,0.5,779361,9,-1.9904648462931316,-2.896430492401123,-0.9059656461079915
answer_address_inactive_control,literal,1240,8192,8192,0.5,779361,3,-1.9904648462931316,-1.9592148462931316,0.03125
query_tail_inactive_control,literal,1240,8192,8192,0.5,779361,9,-1.9904648462931316,-1.8550055821736653,0.1354592641194663
answer_address,literal,1241,8192,8191,0.5,731022,3,-2.042708237965902,-2.1365795135498047,-0.09387127558390285
non_address_core,literal,1241,8192,8191,0.5,731022,16,-2.042708237965902,-3.438120444615682,-1.3954122066497803
strong13,literal,1241,8192,8191,0.5,731022,13,-2.042708237965902,-3.33430544535319,-1.2915972073872881
core19,literal,1241,8192,8191,0.5,731022,19,-2.042708237965902,-3.3547796408335366,-1.3120714028676348
first_token_sink,literal,1241,8192,8191,0.5,731022,6,-2.042708237965902,-2.5113511085510254,-0.46864287058512355
query_tail,literal,1241,8192,8191,0.5,731022,9,-2.042708237965902,-3.0006771882375083,-0.9579689502716064
