variant,seed,target_tokens,actual_tokens,needle_frac,gold,baseline_logprob,topk_ablated_logprob,randomk_ablated_logprob,randomk_ablated_logprob_mean,randomk_ablated_logprob_std,delta_topk,delta_randomk,delta_randomk_mean,delta_randomk_std,delta_randomk_all
paraphrase,201234,8192,8192,0.1,193786,-2.250237226486206,-2.542040983835856,-2.218979756037394,-2.3200217127799982,0.11899986946694503,-0.2918037573496499,0.031257470448812,-0.06978448629379272,0.118999869466945,"[0.031257470448812, -0.07292556762695312, -0.0313491026560464, -0.083366552988688, 0.08333114782969142, -0.11460479100545262, -0.11452702681223537, -0.05200513203938817, -0.28129490216573094, 0.17704033851623535, -0.177026629447937, -0.031217535336812485, -0.06248017152150487, -0.33335212866465236, 0.08339786529541016, -0.07292795181274414, -0.14580392837524414, -0.15617012977600098, -0.10416793823242188, 0.06250294049580907]"
paraphrase,201235,8192,8192,0.1,207278,-2.3249409993489585,-2.7949394385019937,-2.3142961661020913,-2.467519013086955,0.18100259418837505,-0.4699984391530352,0.010644833246867158,-0.1425780137379963,0.18100259418837505,"[0.010644833246867158, -0.24914137522379542, -0.21822428703308105, -0.25026893615722656, 0.011252721150716294, -0.2828497886657715, -0.10390082995096828, -0.15702406565348292, -0.4887375831604004, 0.1874757607777915, -0.26061880588531494, -0.07232912381490042, -0.07341837882995605, -0.5532558759053545, 0.1677922010421753, -0.12477127710978175, -0.1761082808176675, -0.1564316749572754, -0.11457880338033011, 0.05293329556783055]"
paraphrase,201236,8192,8191,0.1,331504,-2.178695241610209,-2.7718098163604736,-2.2200856606165567,-2.358108249306679,0.1594338330778152,-0.5931145747502646,-0.041390419006347656,-0.17941300769646978,0.1594338330778152,"[-0.041390419006347656, -0.13508844375610352, -0.3955119053522749, -0.11408583323160837, 0.06222756703694632, -0.16659053166707372, -0.1872100830078125, -0.30129329363505075, -0.5310608545939131, 0.020491560300190947, -0.2600436210632324, -0.12494754791259766, -0.14546799659729004, -0.4269585212071738, 0.10483711957931519, -0.13523523012797067, -0.20764283339182565, -0.34308695793151855, -0.20825294653574655, -0.051949381828308105]"
paraphrase,201237,8192,8192,0.1,888821,-2.145953814188639,-2.708444436391195,-2.1876184145609536,-2.2725057264169055,0.13773500799139188,-0.5624906222025556,-0.04166460037231445,-0.12655191222826656,0.13773500799139188,"[-0.04166460037231445, -0.12499419848124216, -0.21876414616902684, -0.0208364327748618, 6.993611653349774e-06, -0.17709167798360204, -0.11456104119618749, -0.11453739802042673, -0.5208278497060141, 0.04166845480600978, -0.1458075841267905, -0.11456966400146484, -0.1145780086517334, -0.35415891806284616, 0.14587469895680716, -0.14583341280619333, -0.1562330722808838, -0.15621761480967233, -0.1979149182637534, 2.1457672119140625e-06]"
paraphrase,201238,8192,8193,0.1,987809,-2.062677542368571,-2.4481181303660073,-2.0939109722773233,-2.2001586318016053,0.12160163864134946,-0.3854405879974365,-0.03123342990875244,-0.1374810894330344,0.12160163864134946,"[-0.03123342990875244, -0.15623982747395848, -0.2396235466003418, -0.0729306538899741, 0.010435859362284194, -0.1042180061340332, -0.1041275660196943, -0.16660133997599313, -0.4583244323730469, 1.430511474609375e-06, -0.1249612172444663, -0.14579455057779978, -0.09373601277669286, -0.3541768391927085, 0.08341916402180982, -0.13540267944335938, -0.177046537399292, -0.2603604396184287, -0.16664580504099558, -0.05205535888671875]"
paraphrase,201239,8192,8192,0.1,845811,-2.136019706726074,-2.771374543507894,-2.2297974824905396,-2.3229362249374392,0.1304824830409555,-0.6353548367818198,-0.09377777576446533,-0.18691651821136476,0.1304824830409555,"[-0.09377777576446533, -0.24995783964792873, -0.2606123288472495, -0.08321094512939453, -0.07289624214172363, -0.18754108746846532, -0.166532794634501, -0.22879771391550685, -0.5938387314478555, 0.031181732813517105, -0.26031386852264404, -0.12493046124776219, -0.17704327901204442, -0.37498648961385106, -0.12464721997578954, -0.14587012926737453, -0.14573097229003906, -0.2393190463383994, -0.2188277244567871, -0.02067744731903076]"
paraphrase,201240,8192,8192,0.1,825220,-2.198137044906616,-2.7918595472971597,-2.2398056983947754,-2.3371832847595213,0.137253855345037,-0.5937225023905435,-0.04166865348815918,-0.1390462398529052,0.137253855345037,"[-0.04166865348815918, -0.1562340259552002, -0.18755618731180812, -0.10418121019999171, -0.010427713394165039, -0.1771015326182046, -0.10411437352498387, -0.2707407474517822, -0.5104021231333413, 0.13539632161458348, -0.229118506113688, -0.12498609224955226, -0.10415546099344875, -0.3541602293650308, 0.03133686383565282, -0.12499658266703273, -0.09372464815775539, -0.1978538831075034, -0.1666632493336997, 0.010427236557006836]"
paraphrase,201241,8192,8192,0.1,844590,-2.073101202646891,-2.687668244043986,-2.198097070058187,-2.2548603177070614,0.14610522348046548,-0.6145670413970947,-0.12499586741129587,-0.18175911506017062,0.14610522348046548,"[-0.12499586741129587, -0.1875011920928955, -0.20837879180908203, -0.06250079472859715, -1.0410944621064289e-05, -0.19793462753295898, -0.187476952870687, -0.39575155576070165, -0.5208280086517334, 0.05206799507141113, -0.31247218449910497, -0.14581116040547704, -0.18749324480692575, -0.43748601277669286, -0.010341803232829072, -0.1354231834411621, -0.12498458226521825, -0.2291186650594077, -0.2291649182637534, 0.010423660278320312]"
relational,301234,8192,8192,0.1,994066,-1.979209582010905,-2.3177170753479004,-2.0037495295206704,-2.146665290991465,0.13278581652261348,-0.33850749333699537,-0.024539947509765403,-0.16745570898056025,0.13278581652261348,"[-0.024539947509765403, -0.25296243031819654, -0.30776945749918627, -0.06088193257649732, -0.09084256490071607, -0.20516284306844068, -0.24778270721435525, 0.11347452799479174, -0.49656311670939135, -0.09677728017171217, -0.23348045349121072, -0.20547485351562478, -0.12217728296915698, -0.34351778030395486, -0.06650328636169411, -0.1815377871195476, -0.18170181910196948, -0.2288085619608562, -0.13132826487223315, 0.015223662058512444]"
relational,301235,8192,8192,0.1,726316,-1.856849988301595,-2.2209065755208335,-1.8882560729980469,-2.0024823427200316,0.09668902426789547,-0.3640565872192385,-0.0314060846964519,-0.14563235441843675,0.09668902426789547,"[-0.0314060846964519, -0.17676989237467455, -0.21882311503092455, -0.06274223327636719, 0.031307220458984375, -0.10341072082519531, -0.23979330062866233, -0.11337661743164062, -0.3126084009806316, -0.05213642120361328, -0.2921412785847981, -0.15594418843587232, -0.1351668039957683, -0.2492006619771321, -0.12350877126057958, -0.1148465474446616, -0.197588602701823, -0.2603503863016765, -0.13543446858723973, 0.031294186909993416]"
