group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_logprob,corrupt_clean_logprob,corrupt_gold_logprob,patched_logprob,delta_patch,recovery_denominator,recovery_fraction
core19,literal,1236,8192,8192,0.1,659279,262639,19,-1.9796881675720215,-4.979166666666667,-2.271558920542399,-4.684895833333333,0.2942708333333339,2.9994784990946455,0.09810733213195422
first_token_sink,literal,1236,8192,8192,0.1,659279,262639,6,-1.9796881675720215,-4.979166666666667,-2.271558920542399,-4.958333333333333,0.020833333333333925,2.9994784990946455,0.006945651832350925
query_tail,literal,1236,8192,8192,0.1,659279,262639,9,-1.9796881675720215,-4.979166666666667,-2.271558920542399,-4.924479166666667,0.0546875,2.9994784990946455,0.01823233605992066
answer_address_inactive_control,literal,1236,8192,8192,0.1,659279,262639,3,-1.9796881675720215,-4.979166666666667,-2.271558920542399,-4.940104166666667,0.0390625,2.9994784990946455,0.013023097185657613
query_tail_inactive_control,literal,1236,8192,8192,0.1,659279,262639,9,-1.9796881675720215,-4.979166666666667,-2.271558920542399,-4.966145833333333,0.013020833333333925,2.9994784990946455,0.004341032395219402
answer_address,literal,1237,8192,8191,0.1,255903,368766,3,-2.2609168688456216,-4.916666666666667,-2.189204533894857,-4.572916666666667,0.34375,2.6557497978210454,0.12943613900753584
non_address_core,literal,1237,8192,8191,0.1,255903,368766,16,-2.2609168688456216,-4.916666666666667,-2.189204533894857,-4.861979166666667,0.0546875,2.6557497978210454,0.020592113023926155
strong13,literal,1237,8192,8191,0.1,255903,368766,13,-2.2609168688456216,-4.916666666666667,-2.189204533894857,-4.622395833333333,0.2942708333333339,2.6557497978210454,0.1108051796049362
core19,literal,1237,8192,8191,0.1,255903,368766,19,-2.2609168688456216,-4.916666666666667,-2.189204533894857,-4.546875,0.36979166666666696,2.6557497978210454,0.13924190711416745
first_token_sink,literal,1237,8192,8191,0.1,255903,368766,6,-2.2609168688456216,-4.916666666666667,-2.189204533894857,-4.924479166666667,-0.0078125,2.6557497978210454,-0.0029417304319894508
query_tail,literal,1237,8192,8191,0.1,255903,368766,9,-2.2609168688456216,-4.916666666666667,-2.189204533894857,-4.885416666666667,0.03125,2.6557497978210454,0.011766921727957803
answer_address_inactive_control,literal,1237,8192,8191,0.1,255903,368766,3,-2.2609168688456216,-4.916666666666667,-2.189204533894857,-4.9296875,-0.013020833333333037,2.6557497978210454,-0.00490288405331564
query_tail_inactive_control,literal,1237,8192,8191,0.1,255903,368766,9,-2.2609168688456216,-4.916666666666667,-2.189204533894857,-4.890625,0.026041666666666963,2.6557497978210454,0.009805768106631614
answer_address,literal,1238,8192,8192,0.1,127404,655198,3,-2.104977607727051,-4.842447916666667,-1.9796067873636882,-4.514322916666667,0.328125,2.737470308939616,0.11986431375290503
non_address_core,literal,1238,8192,8192,0.1,127404,655198,16,-2.104977607727051,-4.842447916666667,-1.9796067873636882,-4.795572916666667,0.046875,2.737470308939616,0.017123473393272148
strong13,literal,1238,8192,8192,0.1,127404,655198,13,-2.104977607727051,-4.842447916666667,-1.9796067873636882,-4.56640625,0.27604166666666696,2.737470308939616,0.10083823220482498
core19,literal,1238,8192,8192,0.1,127404,655198,19,-2.104977607727051,-4.842447916666667,-1.9796067873636882,-4.505208333333333,0.3372395833333339,2.737470308939616,0.12319387802381927
first_token_sink,literal,1238,8192,8192,0.1,127404,655198,6,-2.104977607727051,-4.842447916666667,-1.9796067873636882,-4.82421875,0.018229166666666963,2.737470308939616,0.006659128541828165
query_tail,literal,1238,8192,8192,0.1,127404,655198,9,-2.104977607727051,-4.842447916666667,-1.9796067873636882,-4.845052083333333,-0.0026041666666660745,2.737470308939616,-0.0009513040774037919
answer_address_inactive_control,literal,1238,8192,8192,0.1,127404,655198,3,-2.104977607727051,-4.842447916666667,-1.9796067873636882,-4.837239583333333,0.0052083333333339255,2.737470308939616,0.0019026081548082325
query_tail_inactive_control,literal,1238,8192,8192,0.1,127404,655198,9,-2.104977607727051,-4.842447916666667,-1.9796067873636882,-4.811197916666667,0.03125,2.737470308939616,0.011415648928848098
answer_address,literal,1239,8192,8192,0.1,178315,630655,3,-2.0737412770589194,-4.677083333333333,-2.02193276087443,-4.268229166666667,0.4088541666666661,2.6033420562744136,0.15704972985830698
non_address_core,literal,1239,8192,8192,0.1,178315,630655,16,-2.0737412770589194,-4.677083333333333,-2.02193276087443,-4.630208333333333,0.046875,2.6033420562744136,0.01800570151241739
strong13,literal,1239,8192,8192,0.1,178315,630655,13,-2.0737412770589194,-4.677083333333333,-2.02193276087443,-4.348958333333333,0.328125,2.6033420562744136,0.1260399105869217
core19,literal,1239,8192,8192,0.1,178315,630655,19,-2.0737412770589194,-4.677083333333333,-2.02193276087443,-4.2421875,0.43489583333333304,2.6033420562744136,0.16705289736520565
first_token_sink,literal,1239,8192,8192,0.1,178315,630655,6,-2.0737412770589194,-4.677083333333333,-2.02193276087443,-4.682291666666667,-0.0052083333333339255,2.6033420562744136,-0.002000633501379937
query_tail,literal,1239,8192,8192,0.1,178315,630655,9,-2.0737412770589194,-4.677083333333333,-2.02193276087443,-4.653645833333333,0.0234375,2.6033420562744136,0.009002850756208694
answer_address_inactive_control,literal,1239,8192,8192,0.1,178315,630655,3,-2.0737412770589194,-4.677083333333333,-2.02193276087443,-4.674479166666667,0.0026041666666660745,2.6033420562744136,0.0010003167506896274
query_tail_inactive_control,literal,1239,8192,8192,0.1,178315,630655,9,-2.0737412770589194,-4.677083333333333,-2.02193276087443,-4.627604166666667,0.049479166666666075,2.6033420562744136,0.019006018263107015
answer_address,literal,1240,8192,8191,0.1,779361,276381,3,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-4.729166666666667,0.26171875,3.073399543762207,0.08515611012280723
non_address_core,literal,1240,8192,8191,0.1,779361,276381,16,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-4.998697916666667,-0.0078125,3.073399543762207,-0.0025419734365017084
