condition,patch_group,ablate_group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,clean_logprob,corrupt_clean_logprob,patched_logprob,patch_only_logprob,delta_patch,delta_vs_patch_only,recovery_denominator,recovery_fraction
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-3.8671875,-3.9036458333333335,0.7734375,0.03645833333333348,2.687669436136882,0.28777255476465863
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-3.8880208333333335,-3.9036458333333335,0.7526041666666665,0.015625,2.687669436136882,0.28002110547806847
patch_only,answer_address,,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-4.057291666666667,-4.057291666666667,0.7526041666666661,0.0,2.8899636268615723,0.26041994427589915
patch_plus_ablate_query_tail,answer_address,query_tail,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-4.747395833333333,-4.057291666666667,0.0625,-0.6901041666666661,2.8899636268615723,0.021626569766856694
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-4.333333333333333,-4.057291666666667,0.4765625,-0.2760416666666661,2.8899636268615723,0.16490259447228228
patch_plus_ablate_non_address_core,answer_address,non_address_core,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-4.723958333333333,-4.057291666666667,0.0859375,-0.6666666666666661,2.8899636268615723,0.029736533429427954
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-3.9921875,-4.057291666666667,0.817708333333333,0.06510416666666696,2.8899636268615723,0.282947621116375
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,alias,101235,8192,8192,0.1,419257,898276,-1.919932206471761,-4.809895833333333,-4.0390625,-4.057291666666667,0.770833333333333,0.018229166666666963,2.8899636268615723,0.26672769379123246
patch_only,answer_address,,alias,101236,8192,8192,0.1,896301,139197,-1.7837336858113606,-4.381510416666667,-3.7473958333333335,-3.7473958333333335,0.6341145833333335,0.0,2.5977767308553066,0.24409895423328165
patch_plus_ablate_query_tail,answer_address,query_tail,alias,101236,8192,8192,0.1,896301,139197,-1.7837336858113606,-4.381510416666667,-4.393229166666667,-3.7473958333333335,-0.01171875,-0.6458333333333335,2.5977767308553066,-0.004511068969403561
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,alias,101236,8192,8192,0.1,896301,139197,-1.7837336858113606,-4.381510416666667,-4.059895833333333,-3.7473958333333335,0.3216145833333339,-0.31249999999999956,2.5977767308553066,0.12380378171585352
patch_plus_ablate_non_address_core,answer_address,non_address_core,alias,101236,8192,8192,0.1,896301,139197,-1.7837336858113606,-4.381510416666667,-4.5625,-3.7473958333333335,-0.18098958333333304,-0.8151041666666665,2.5977767308553066,-0.06967095408301044
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,alias,101236,8192,8192,0.1,896301,139197,-1.7837336858113606,-4.381510416666667,-3.7526041666666665,-3.7473958333333335,0.6289062500000004,-0.005208333333333037,2.5977767308553066,0.24209403469132462
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,alias,101236,8192,8192,0.1,896301,139197,-1.7837336858113606,-4.381510416666667,-3.78125,-3.7473958333333335,0.600260416666667,-0.03385416666666652,2.5977767308553066,0.2310669772105603
patch_only,answer_address,,alias,101237,8192,8192,0.1,847571,935678,-1.7244116465250652,-4.471354166666667,-3.7447916666666665,-3.7447916666666665,0.7265625000000004,0.0,2.7469425201416016,0.26449861788973544
patch_plus_ablate_query_tail,answer_address,query_tail,alias,101237,8192,8192,0.1,847571,935678,-1.7244116465250652,-4.471354166666667,-4.416666666666667,-3.7447916666666665,0.0546875,-0.6718750000000004,2.7469425201416016,0.019908498120732764
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,alias,101237,8192,8192,0.1,847571,935678,-1.7244116465250652,-4.471354166666667,-3.9973958333333335,-3.7447916666666665,0.4739583333333335,-0.25260416666666696,2.7469425201416016,0.17254031704635067
patch_plus_ablate_non_address_core,answer_address,non_address_core,alias,101237,8192,8192,0.1,847571,935678,-1.7244116465250652,-4.471354166666667,-4.684895833333333,-3.7447916666666665,-0.21354166666666607,-0.9401041666666665,2.7469425201416016,-0.07773794504286105
