group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_logprob,corrupt_clean_logprob,corrupt_gold_logprob,patched_logprob,delta_patch,recovery_denominator,recovery_fraction
inactive_control_L22H8,literal,1239,8192,8192,0.1,178315,630655,1,-2.0737412770589194,-4.677083333333333,-2.02193276087443,-4.6640625,0.013020833333333037,2.6033420562744136,0.00500158375344916
inactive_control_L22H3,literal,1239,8192,8192,0.1,178315,630655,1,-2.0737412770589194,-4.677083333333333,-2.02193276087443,-4.677083333333333,0.0,2.6033420562744136,0.0
address_L22H7,literal,1240,8192,8191,0.1,779361,276381,1,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-4.721354166666667,0.26953125,3.073399543762207,0.08769808355930894
address_L21H11,literal,1240,8192,8191,0.1,779361,276381,1,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-5.0390625,-0.04817708333333304,3.073399543762207,-0.015675502858427105
address_L22H10,literal,1240,8192,8191,0.1,779361,276381,1,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-5.006510416666667,-0.015625,3.073399543762207,-0.005083946873003417
support_L20H7,literal,1240,8192,8191,0.1,779361,276381,1,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-5.006510416666667,-0.015625,3.073399543762207,-0.005083946873003417
support_L18H3,literal,1240,8192,8191,0.1,779361,276381,1,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-5.0234375,-0.03255208333333304,3.073399543762207,-0.010591555985423688
support_L17H10,literal,1240,8192,8191,0.1,779361,276381,1,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-5.0546875,-0.06380208333333304,3.073399543762207,-0.020759449731430523
support_L20H8,literal,1240,8192,8191,0.1,779361,276381,1,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-5.040364583333333,-0.049479166666666075,3.073399543762207,-0.01609916509784396
support_L22H0,literal,1240,8192,8191,0.1,779361,276381,1,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-4.994791666666667,-0.00390625,3.073399543762207,-0.0012709867182508542
support_L22H4,literal,1240,8192,8191,0.1,779361,276381,1,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-5.018229166666667,-0.02734375,3.073399543762207,-0.008896907027755979
activation_control_L20H5,literal,1240,8192,8191,0.1,779361,276381,1,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-5.0,-0.009114583333333037,3.073399543762207,-0.0029656356759185636
inactive_control_L21H2,literal,1240,8192,8191,0.1,779361,276381,1,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-4.990885416666667,0.0,3.073399543762207,0.0
inactive_control_L22H8,literal,1240,8192,8191,0.1,779361,276381,1,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-5.028645833333333,-0.037760416666666075,3.073399543762207,-0.012286204943091397
inactive_control_L22H3,literal,1240,8192,8191,0.1,779361,276381,1,-1.9174858729044597,-4.990885416666667,-2.25061305363973,-5.032552083333333,-0.041666666666666075,3.073399543762207,-0.013557191661342251
address_L22H7,literal,1241,8192,8192,0.1,731022,285908,1,-1.9490454991658528,-4.609375,-2.220605214436849,-4.283854166666667,0.32552083333333304,2.6603295008341474,0.12236109595870205
address_L21H11,literal,1241,8192,8192,0.1,731022,285908,1,-1.9490454991658528,-4.609375,-2.220605214436849,-4.622395833333333,-0.013020833333333037,2.6603295008341474,-0.004894443838347975
address_L22H10,literal,1241,8192,8192,0.1,731022,285908,1,-1.9490454991658528,-4.609375,-2.220605214436849,-4.61328125,-0.00390625,2.6603295008341474,-0.001468333151504426
support_L20H7,literal,1241,8192,8192,0.1,731022,285908,1,-1.9490454991658528,-4.609375,-2.220605214436849,-4.583333333333333,0.026041666666666963,2.6603295008341474,0.009788887676696284
support_L18H3,literal,1241,8192,8192,0.1,731022,285908,1,-1.9490454991658528,-4.609375,-2.220605214436849,-4.572916666666667,0.03645833333333304,2.6603295008341474,0.013704442747374531
support_L17H10,literal,1241,8192,8192,0.1,731022,285908,1,-1.9490454991658528,-4.609375,-2.220605214436849,-4.58984375,0.01953125,2.6603295008341474,0.00734166575752213
support_L20H8,literal,1241,8192,8192,0.1,731022,285908,1,-1.9490454991658528,-4.609375,-2.220605214436849,-4.625,-0.015625,2.6603295008341474,-0.005873332606017704
support_L22H0,literal,1241,8192,8192,0.1,731022,285908,1,-1.9490454991658528,-4.609375,-2.220605214436849,-4.6015625,0.0078125,2.6603295008341474,0.002936666303008852
support_L22H4,literal,1241,8192,8192,0.1,731022,285908,1,-1.9490454991658528,-4.609375,-2.220605214436849,-4.604166666666667,0.005208333333333037,2.6603295008341474,0.0019577775353391232
activation_control_L20H5,literal,1241,8192,8192,0.1,731022,285908,1,-1.9490454991658528,-4.609375,-2.220605214436849,-4.596354166666667,0.013020833333333037,2.6603295008341474,0.004894443838347975
inactive_control_L21H2,literal,1241,8192,8192,0.1,731022,285908,1,-1.9490454991658528,-4.609375,-2.220605214436849,-4.604166666666667,0.005208333333333037,2.6603295008341474,0.0019577775353391232
inactive_control_L22H8,literal,1241,8192,8192,0.1,731022,285908,1,-1.9490454991658528,-4.609375,-2.220605214436849,-4.604166666666667,0.005208333333333037,2.6603295008341474,0.0019577775353391232
inactive_control_L22H3,literal,1241,8192,8192,0.1,731022,285908,1,-1.9490454991658528,-4.609375,-2.220605214436849,-4.591145833333333,0.018229166666666963,2.6603295008341474,0.006852221373687432
address_L22H7,alias,101234,8192,8192,0.1,476403,525796,1,-1.9529555638631184,-4.640625,-1.906717856725057,-3.9296875,0.7109375,2.687669436136882,0.26451820690488825
