variant,seed,target_tokens,actual_tokens,needle_frac,gold,baseline_logprob,topk_ablated_logprob,randomk_ablated_logprob,delta_topk,delta_randomk
relational,301240,8192,8192,0.1,321185,-1.9910899798075359,-2.2350382804870605,-2.0115815798441568,-0.24394830067952467,-0.02049160003662087
relational,301241,8192,8192,0.1,795577,-1.8352765242258708,-2.267294724782308,-1.8351461092631023,-0.43201820055643725,0.0001304149627685547
distractor_heavy,401234,8192,8193,0.1,210681,-2.2505248387654624,-2.5585432052612305,-2.177879015604655,-0.3080183664957681,0.07264582316080759
distractor_heavy,401235,8192,8193,0.1,639039,-2.0219222704569497,-2.515202442804972,-2.094665845235189,-0.49328017234802246,-0.07274357477823923
distractor_heavy,401236,8192,8192,0.1,705589,-1.9497793515523274,-2.423039118448893,-1.9799493153889973,-0.4732597668965657,-0.030169963836669922
distractor_heavy,401237,8192,8192,0.1,577255,-2.0298563639322915,-2.2236669858296714,-2.060886859893799,-0.19381062189737985,-0.03103049596150731
distractor_heavy,401238,8192,8192,0.1,984712,-2.0761286417643228,-2.482028007507324,-2.0850629806518555,-0.40589936574300145,-0.0089343388875327
distractor_heavy,401239,8192,8192,0.1,836886,-1.9511070251464844,-2.4394073486328125,-2.0124499003092446,-0.4883003234863281,-0.06134287516276027
distractor_heavy,401240,8192,8193,0.1,453754,-2.1962440808614097,-2.5322140057881675,-2.218700091044108,-0.3359699249267578,-0.02245601018269827
distractor_heavy,401241,8192,8192,0.1,395505,-2.2317377726236978,-2.64233668645223,-2.244850476582845,-0.4105989138285322,-0.013112703959147431
