group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
first_token_sink,literal,1239,8192,8192,0.1,178315,6,-2.0737412770589194,-2.479994455973307,-0.4062531789143877
query_tail,literal,1239,8192,8192,0.1,178315,9,-2.0737412770589194,-2.9800963401794434,-0.9063550631205239
answer_address,literal,1240,8192,8191,0.1,779361,3,-1.9174858729044597,-2.0843350092569985,-0.16684913635253884
non_address_core,literal,1240,8192,8191,0.1,779361,16,-1.9174858729044597,-3.292328357696533,-1.3748424847920735
strong13,literal,1240,8192,8191,0.1,779361,13,-1.9174858729044597,-3.250934918721517,-1.3334490458170574
core19,literal,1240,8192,8191,0.1,779361,19,-1.9174858729044597,-3.292351245880127,-1.3748653729756672
first_token_sink,literal,1240,8192,8191,0.1,779361,6,-1.9174858729044597,-2.3758246103922525,-0.45833873748779275
query_tail,literal,1240,8192,8191,0.1,779361,9,-1.9174858729044597,-2.9172654151916504,-0.9997795422871907
answer_address,literal,1241,8192,8192,0.1,731022,3,-1.9490454991658528,-2.1160924434661865,-0.16704694430033373
non_address_core,literal,1241,8192,8192,0.1,731022,16,-1.9490454991658528,-3.375784953435262,-1.4267394542694094
strong13,literal,1241,8192,8192,0.1,731022,13,-1.9490454991658528,-3.2932018438975015,-1.3441563447316487
core19,literal,1241,8192,8192,0.1,731022,19,-1.9490454991658528,-3.3133771419525146,-1.3643316427866619
first_token_sink,literal,1241,8192,8192,0.1,731022,6,-1.9490454991658528,-2.396897474924723,-0.44785197575887037
query_tail,literal,1241,8192,8192,0.1,731022,9,-1.9490454991658528,-3.000783602396647,-1.0517381032307942
answer_address,alias,101234,8192,8192,0.1,476403,3,-1.9529555638631184,-2.1638237635294595,-0.21086819966634107
non_address_core,alias,101234,8192,8192,0.1,476403,16,-1.9529555638631184,-3.152637481689453,-1.1996819178263347
strong13,alias,101234,8192,8192,0.1,476403,13,-1.9529555638631184,-3.341231346130371,-1.3882757822672527
core19,alias,101234,8192,8192,0.1,476403,19,-1.9529555638631184,-3.29911740620931,-1.3461618423461916
first_token_sink,alias,101234,8192,8192,0.1,476403,6,-1.9529555638631184,-2.3376550674438477,-0.38469950358072924
query_tail,alias,101234,8192,8192,0.1,476403,9,-1.9529555638631184,-3.048084259033203,-1.0951286951700847
answer_address,alias,101235,8192,8192,0.1,419257,3,-1.919932206471761,-2.12961753209432,-0.20968532562255882
non_address_core,alias,101235,8192,8192,0.1,419257,16,-1.919932206471761,-3.131025950113932,-1.2110937436421711
strong13,alias,101235,8192,8192,0.1,419257,13,-1.919932206471761,-3.340126355489095,-1.4201941490173342
core19,alias,101235,8192,8192,0.1,419257,19,-1.919932206471761,-3.2566115061442056,-1.3366792996724446
first_token_sink,alias,101235,8192,8192,0.1,419257,6,-1.919932206471761,-2.2627787590026855,-0.34284655253092455
query_tail,alias,101235,8192,8192,0.1,419257,9,-1.919932206471761,-3.0467823346455893,-1.1268501281738283
answer_address,alias,101236,8192,8192,0.1,896301,3,-1.7837336858113606,-2.0871286392211914,-0.3033949534098308
non_address_core,alias,101236,8192,8192,0.1,896301,16,-1.7837336858113606,-2.982048988342285,-1.1983153025309246
strong13,alias,101236,8192,8192,0.1,896301,13,-1.7837336858113606,-3.253326416015625,-1.4695927302042644
core19,alias,101236,8192,8192,0.1,896301,19,-1.7837336858113606,-3.3158915837605796,-1.532157897949219
first_token_sink,alias,101236,8192,8192,0.1,896301,6,-1.7837336858113606,-2.095963795979818,-0.31223011016845725
query_tail,alias,101236,8192,8192,0.1,896301,9,-1.7837336858113606,-2.731689453125,-0.9479557673136394
answer_address,alias,101237,8192,8192,0.1,847571,3,-1.7244116465250652,-2.0807838439941406,-0.35637219746907545
non_address_core,alias,101237,8192,8192,0.1,847571,16,-1.7244116465250652,-2.9895311991373696,-1.2651195526123045
strong13,alias,101237,8192,8192,0.1,847571,13,-1.7244116465250652,-3.239863713582357,-1.5154520670572917
core19,alias,101237,8192,8192,0.1,847571,19,-1.7244116465250652,-3.2821226119995117,-1.5577109654744465
first_token_sink,alias,101237,8192,8192,0.1,847571,6,-1.7244116465250652,-2.0353333155314126,-0.31092166900634743
query_tail,alias,101237,8192,8192,0.1,847571,9,-1.7244116465250652,-2.842665672302246,-1.118254025777181
answer_address,alias,101238,8192,8193,0.1,223928,3,-1.9181777636210124,-2.1169843673706055,-0.19880660374959302
non_address_core,alias,101238,8192,8193,0.1,223928,16,-1.9181777636210124,-3.442018667856852,-1.5238409042358396
strong13,alias,101238,8192,8193,0.1,223928,13,-1.9181777636210124,-3.273306369781494,-1.3551286061604817
core19,alias,101238,8192,8193,0.1,223928,19,-1.9181777636210124,-3.4816527366638184,-1.563474973042806
first_token_sink,alias,101238,8192,8193,0.1,223928,6,-1.9181777636210124,-2.2622218132019043,-0.34404404958089185
query_tail,alias,101238,8192,8193,0.1,223928,9,-1.9181777636210124,-2.9847997029622397,-1.0666219393412273
answer_address,alias,101239,8192,8192,0.1,548522,3,-1.8470934232076008,-1.8902174631754558,-0.043124039967854966
non_address_core,alias,101239,8192,8192,0.1,548522,16,-1.8470934232076008,-2.9633913040161133,-1.1162978808085124
strong13,alias,101239,8192,8192,0.1,548522,13,-1.8470934232076008,-3.0062500635782876,-1.1591566403706868
core19,alias,101239,8192,8192,0.1,548522,19,-1.8470934232076008,-3.0264132817586265,-1.1793198585510256
first_token_sink,alias,101239,8192,8192,0.1,548522,6,-1.8470934232076008,-2.086214542388916,-0.23912111918131518
query_tail,alias,101239,8192,8192,0.1,548522,9,-1.8470934232076008,-2.7336392402648926,-0.8865458170572917
answer_address,alias,101240,8192,8192,0.1,890717,3,-1.8134337266286213,-2.0951250394185386,-0.2816913127899172
non_address_core,alias,101240,8192,8192,0.1,890717,16,-1.8134337266286213,-3.00120480855306,-1.1877710819244387
strong13,alias,101240,8192,8192,0.1,890717,13,-1.8134337266286213,-3.2930885950724282,-1.479654868443807
core19,alias,101240,8192,8192,0.1,890717,19,-1.8134337266286213,-3.334645907084147,-1.5212121804555256
first_token_sink,alias,101240,8192,8192,0.1,890717,6,-1.8134337266286213,-2.1778395970662436,-0.3644058704376223
query_tail,alias,101240,8192,8192,0.1,890717,9,-1.8134337266286213,-2.813711961110433,-1.0002782344818117
answer_address,alias,101241,8192,8192,0.1,184514,3,-1.8434791564941406,-1.9271853764851887,-0.0837062199910481
non_address_core,alias,101241,8192,8192,0.1,184514,16,-1.8434791564941406,-3.087065060933431,-1.2435859044392905
strong13,alias,101241,8192,8192,0.1,184514,13,-1.8434791564941406,-3.0808080037434897,-1.237328847249349
core19,alias,101241,8192,8192,0.1,184514,19,-1.8434791564941406,-3.1751839319864907,-1.3317047754923501
first_token_sink,alias,101241,8192,8192,0.1,184514,6,-1.8434791564941406,-2.19173526763916,-0.34825611114501953
query_tail,alias,101241,8192,8192,0.1,184514,9,-1.8434791564941406,-2.8123350143432617,-0.9688558578491211
answer_address,paraphrase,201234,8192,8192,0.1,193786,3,-2.250237226486206,-2.260772426923116,-0.010535200436910142
non_address_core,paraphrase,201234,8192,8192,0.1,193786,16,-2.250237226486206,-3.3126627604166665,-1.0624255339304605
strong13,paraphrase,201234,8192,8192,0.1,193786,13,-2.250237226486206,-3.1252489487330117,-0.8750117222468057
core19,paraphrase,201234,8192,8192,0.1,193786,19,-2.250237226486206,-3.3543677727381387,-1.1041305462519326
first_token_sink,paraphrase,201234,8192,8192,0.1,193786,6,-2.250237226486206,-2.5835456450780234,-0.33330841859181737
query_tail,paraphrase,201234,8192,8192,0.1,193786,9,-2.250237226486206,-3.083571473757426,-0.8333342472712197
answer_address,paraphrase,201235,8192,8192,0.1,207278,3,-2.3249409993489585,-2.4620153109232583,-0.13707431157429983
non_address_core,paraphrase,201235,8192,8192,0.1,207278,16,-2.3249409993489585,-3.732306440671285,-1.4073654413223267
strong13,paraphrase,201235,8192,8192,0.1,207278,13,-2.3249409993489585,-3.4407127698262534,-1.115771770477295
core19,paraphrase,201235,8192,8192,0.1,207278,19,-2.3249409993489585,-3.690298835436503,-1.3653578360875445
first_token_sink,paraphrase,201235,8192,8192,0.1,207278,6,-2.3249409993489585,-2.8765838146209717,-0.5516428152720132
query_tail,paraphrase,201235,8192,8192,0.1,207278,9,-2.3249409993489585,-3.441542903582255,-1.1166019042332964
answer_address,paraphrase,201236,8192,8191,0.1,331504,3,-2.178695241610209,-2.355910857518514,-0.17721561590830515
