group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
strong13_inactive_control,literal,1236,8192,8192,0.1,659279,13,-1.9796881675720215,-1.875518798828125,0.10416936874389648
core19_inactive_control,literal,1236,8192,8192,0.1,659279,19,-1.9796881675720215,-1.8755297660827637,0.10415840148925781
first_token_sink_inactive_control,literal,1236,8192,8192,0.1,659279,6,-1.9796881675720215,-1.9796876907348633,4.76837158203125e-07
query_tail_inactive_control,literal,1236,8192,8192,0.1,659279,9,-1.9796881675720215,-1.8754994074503581,0.10418876012166334
answer_address,literal,1237,8192,8191,0.1,255903,3,-2.2609168688456216,-2.2716248830159507,-0.010708014170329072
non_address_core,literal,1237,8192,8191,0.1,255903,16,-2.2609168688456216,-3.6254778703053794,-1.3645610014597578
strong13,literal,1237,8192,8191,0.1,255903,13,-2.2609168688456216,-3.542313893636068,-1.2813970247904463
core19,literal,1237,8192,8191,0.1,255903,19,-2.2609168688456216,-3.6255886554718018,-1.3646717866261802
first_token_sink,literal,1237,8192,8191,0.1,255903,6,-2.2609168688456216,-2.7713624636332193,-0.5104455947875977
query_tail,literal,1237,8192,8191,0.1,255903,9,-2.2609168688456216,-3.2713343302408853,-1.0104174613952637
answer_address_inactive_control,literal,1237,8192,8191,0.1,255903,3,-2.2609168688456216,-2.229691823323568,0.03122504552205374
non_address_inactive_control,literal,1237,8192,8191,0.1,255903,16,-2.2609168688456216,-2.010955015818278,0.24996185302734375
strong13_inactive_control,literal,1237,8192,8191,0.1,255903,13,-2.2609168688456216,-2.0004965464274087,0.2604203224182129
core19_inactive_control,literal,1237,8192,8191,0.1,255903,19,-2.2609168688456216,-1.9901030858357747,0.27081378300984693
first_token_sink_inactive_control,literal,1237,8192,8191,0.1,255903,6,-2.2609168688456216,-2.198411782582601,0.06250508626302054
query_tail_inactive_control,literal,1237,8192,8191,0.1,255903,9,-2.2609168688456216,-2.062955697377523,0.19796117146809866
answer_address,literal,1238,8192,8192,0.1,127404,3,-2.104977607727051,-2.0740583737691245,0.030919233957926284
non_address_core,literal,1238,8192,8192,0.1,127404,16,-2.104977607727051,-3.209073225657145,-1.1040956179300943
strong13,literal,1238,8192,8192,0.1,127404,13,-2.104977607727051,-3.1675097147623696,-1.0625321070353189
